customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Predicted,Churn_Risk_Level,Expected_Annual_Revenue,Expected_Revenue_Loss
CUST_00571,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,100.5,1023.98,Yes,0.42352234484813905,No,Medium,1206.0,510.7679478868557
CUST_04282,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,97.49,2016.49,Yes,0.4355154272582741,No,Medium,1169.8799999999999,509.50078804090964
CUST_04158,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.59,1316.24,Yes,0.4574963282101678,No,Medium,1111.08,508.3150203477532
CUST_01817,Female,0,No,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Electronic check,93.94,1228.94,Yes,0.4506125888955659,No,Medium,1127.28,507.9665592101935
CUST_00605,Male,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,100.52,2930.35,No,0.4208844556980282,No,Medium,1206.24,507.6876658411895
CUST_03893,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.02,196.45,No,0.4579713939559199,No,Medium,1104.24,505.710332061885
CUST_03790,Male,0,No,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card,94.26,1441.99,Yes,0.44663096285425985,No,Medium,1131.1200000000001,505.19321470371045
CUST_00127,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,96.96,1051.3,No,0.43403179256508284,No,Medium,1163.52,505.0046712853252
CUST_00773,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,96.85,1955.45,Yes,0.4341610832218771,No,Medium,1162.1999999999998,504.58201092046545
CUST_02880,Female,0,No,Yes,33,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.84,3135.49,No,0.4429280766630226,No,Medium,1138.08,504.08758548865273
CUST_02424,Male,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,94.18,381.67,No,0.4450535124447134,No,Medium,1130.16,502.9816776245174
CUST_04751,Male,1,No,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,99.19,1874.17,No,0.42189007906513715,No,Medium,1190.28,502.1673233096514
CUST_01763,Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.37,1474.27,No,0.4579756437780217,No,Medium,1096.44,502.14281486397414
CUST_01791,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,97.37,1142.78,No,0.4295907329542206,No,Medium,1168.44,501.95099601302957
CUST_00166,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.42,117.46,Yes,0.4521516165950844,No,Medium,1109.04,501.4542288686124
CUST_01157,Female,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,101.01,3250.48,No,0.41365177724192553,No,Medium,1212.1200000000001,501.3955922304828
CUST_04763,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.78,1191.24,Yes,0.4359247915734126,No,Medium,1149.3600000000001,501.03451844281756
CUST_03032,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.53,1422.0,No,0.44633695409742513,No,Medium,1122.3600000000001,500.95074380078614
CUST_00893,Male,1,No,Yes,34,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.76,3234.81,No,0.43522229268567925,No,Medium,1149.1200000000001,500.1226409709678
CUST_02490,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.56,2405.09,No,0.44542006637218123,No,Medium,1122.72,500.0820169173753
CUST_03315,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,91.35,179.26,Yes,0.4555600862272808,No,Medium,1096.1999999999998,499.3849665223451
CUST_01036,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,97.08,1073.91,No,0.42828110651987383,No,Medium,1164.96,498.9303578513922
CUST_01450,Female,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,98.8,1659.69,Yes,0.42051572472519083,No,Medium,1185.6,498.5634432341862
CUST_03100,Male,0,No,Yes,22,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card,92.98,2036.42,No,0.4456036218651102,No,Medium,1115.76,497.1866971322154
CUST_03239,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.63,1651.75,Yes,0.42388125711168956,No,Medium,1171.56,496.60232558177097
CUST_04390,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.27,368.84,Yes,0.4474949278381832,No,Medium,1107.24,495.48428389954995
CUST_02152,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Mailed check,92.3,250.13,Yes,0.4459608251956264,No,Medium,1107.6,493.9462099866758
CUST_04457,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,89.48,260.92,Yes,0.4597392080429083,No,Medium,1073.76,493.6495720281532
CUST_03773,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,102.2,3658.51,No,0.402372209350207,No,Medium,1226.4,493.4692775470939
CUST_02015,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.59,2829.44,No,0.42512041963502245,No,Medium,1159.08,492.7485759905618
CUST_03364,Female,0,No,Yes,23,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.99,2010.83,No,0.4720304616889023,No,Medium,1043.8799999999999,492.74315834781123
CUST_03628,Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.08,2278.5,Yes,0.43181263532461345,No,Medium,1140.96,492.680944399971
CUST_01541,Male,1,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.37,3885.66,Yes,0.4126496300533363,No,Medium,1192.44,492.0599248608004
CUST_04126,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.77,1574.92,Yes,0.43256787185406964,No,Medium,1137.24,491.93348658732214
CUST_03362,Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,98.7,1526.86,No,0.4148883034342638,No,Medium,1184.4,491.3937065875421
CUST_03766,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.57,1891.39,No,0.4569240828963237,No,Medium,1074.84,491.1202812602845
CUST_04167,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,97.68,1568.07,No,0.4188351425277241,No,Medium,1172.16,490.9418006652971
CUST_04896,Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.7,10.12,Yes,0.4458743460021274,No,Medium,1100.4,490.640130340741
CUST_03459,Male,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Electronic check,89.33,14.1,Yes,0.45645422285214216,No,Medium,1071.96,489.3006687285823
CUST_00096,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,91.18,1263.4,No,0.4469043163909728,No,Medium,1094.16,488.9848268223468
CUST_04284,Female,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.35,2815.69,No,0.4059865294745033,No,Medium,1204.1999999999998,488.8889787931968
CUST_02757,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card,97.67,2989.31,No,0.4168255708385486,No,Medium,1172.04,488.5362420456125
CUST_00690,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.39,431.24,No,0.44519186253163007,No,Medium,1096.68,488.23301180118807
CUST_03403,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.98,5840.73,Yes,0.4109405389193077,No,Medium,1187.76,488.0987345067969
CUST_04838,Male,0,No,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,93.58,1865.24,No,0.43436133153734513,No,Medium,1122.96,487.7704008631771
CUST_03176,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.91,20.65,Yes,0.46203327259295457,No,Medium,1054.92,487.4081399237597
CUST_02427,Male,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.26,2586.28,Yes,0.42161508395556,No,Medium,1155.1200000000001,487.0160157787465
CUST_03091,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,98.97,3168.35,Yes,0.40965591987527816,No,Medium,1187.6399999999999,486.5237566806753
CUST_00465,Female,1,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Credit card,95.04,480.51,Yes,0.4265669337484329,No,Medium,1140.48,486.49105660141277
CUST_01505,Male,0,No,No,14,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,89.98,1269.36,No,0.4505081756319809,No,Medium,1079.76,486.4407077203877
CUST_04003,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,91.2,1252.98,Yes,0.4440238903976123,No,Medium,1094.4,485.93974565114695
CUST_02691,Female,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,94.95,931.34,Yes,0.42646872027998955,No,Medium,1139.4,485.91845988702016
CUST_01582,Female,0,No,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.99,2420.44,No,0.41740259565113375,No,Medium,1163.8799999999999,485.8065330264415
CUST_03998,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,94.07,253.71,Yes,0.43018040648577294,No,Medium,1128.84,485.6048500573999
CUST_02016,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.05,112.1,Yes,0.4536181378233441,No,Medium,1068.6,484.7363420780255
CUST_02511,Female,0,No,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.26,1619.16,Yes,0.42837245196666773,No,Medium,1131.1200000000001,484.54064786853723
CUST_03989,Male,0,No,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.2,2401.35,No,0.4421812893081678,No,Medium,1094.4,483.9232030188589
CUST_00335,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,99.41,1518.65,No,0.4055256797561369,No,Medium,1192.92,483.7596938946909
CUST_01511,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,94.89,1129.64,Yes,0.42478707819108036,No,Medium,1138.68,483.6965501946194
CUST_03871,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,91.41,277.45,Yes,0.4407069779424208,No,Medium,1096.92,483.42029824460025
CUST_00098,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.75,369.45,Yes,0.43905584607854714,No,Medium,1101.0,483.4004865324804
CUST_02574,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.96,2888.31,No,0.41945146917884585,No,Medium,1151.52,483.0067557888246
CUST_04745,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.42,2312.28,No,0.4047383208837162,No,Medium,1193.04,482.8690063471088
CUST_00112,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,100.0,2471.87,Yes,0.4023130235631435,No,Medium,1200.0,482.77562827577225
CUST_01388,Female,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.08,697.03,No,0.450177119123451,No,Medium,1068.96,481.2213332582042
CUST_03508,Male,0,No,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Electronic check,88.58,808.81,Yes,0.4524933691673446,No,Medium,1062.96,480.98235169012065
CUST_03314,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,98.36,4048.91,No,0.40724792233255547,No,Medium,1180.32,480.68286768756184
CUST_00105,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.52,1610.25,No,0.40230280516129363,No,Medium,1194.24,480.4461020358233
CUST_00095,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.04,1436.49,No,0.4125476594195074,No,Medium,1164.48,480.40349844082795
CUST_00558,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.28,663.97,No,0.42402787641035944,No,Medium,1131.3600000000001,479.7281782556243
CUST_01797,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,91.89,1730.94,Yes,0.43490540685549267,No,Medium,1102.68,479.56149403141467
CUST_04965,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,96.9,1090.36,No,0.4117985666030756,No,Medium,1162.8000000000002,478.8393732460564
CUST_00738,Male,1,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card,96.56,1558.15,No,0.41248444244935667,No,Medium,1158.72,477.9539731549186
CUST_01739,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.48,339.66,Yes,0.46587653840555293,No,Medium,1025.76,477.87751803488
CUST_02179,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,93.94,1090.67,No,0.42376802075216,No,Medium,1127.28,477.7052144334949
CUST_00064,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,97.68,2440.76,No,0.40692104088758996,No,Medium,1172.16,476.9765672867975
CUST_00634,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Electronic check,91.41,260.84,No,0.4348042291506522,No,Medium,1096.92,476.94545503993345
CUST_00270,Male,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,97.4,3405.18,No,0.40792288185414133,No,Medium,1168.8000000000002,476.78026431112045
CUST_02751,Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.5,704.56,No,0.459305586069058,No,Medium,1038.0,476.75919833968226
CUST_02127,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.15,619.49,Yes,0.45058384191008416,No,Medium,1057.8000000000002,476.6275879724871
CUST_02042,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,92.81,1193.47,Yes,0.4279048718347827,No,Medium,1113.72,476.5662138598342
CUST_03458,Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.04,1640.64,No,0.4458948932106763,No,Medium,1068.48,476.42977549774344
CUST_04004,Male,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,91.63,127.73,Yes,0.4332205964027299,No,Medium,1099.56,476.3520389805857
CUST_01468,Female,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,93.4,998.27,Yes,0.4241860378120777,No,Medium,1120.8000000000002,475.42771117977674
CUST_02916,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,86.59,547.18,No,0.4571364083628195,No,Medium,1039.08,475.00129920163846
CUST_03809,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.13,3209.6,No,0.4114505092079806,No,Medium,1153.56,474.6328494019581
