customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00014,Male,0,Yes,No,33,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,63.95,2130.73,Yes
CUST_00015,Female,0,No,No,45,No,No phone service,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Credit card,70.65,3216.58,No
CUST_00016,Male,1,No,No,28,No,No phone service,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,70.91,1999.44,No
CUST_00017,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.5,1221.2,No
CUST_00018,Female,0,Yes,No,4,No,No phone service,Fiber optic,Yes,No,No,No,Two year,No,Credit card,67.86,257.14,No
CUST_00019,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,100.24,392.32,Yes
CUST_00020,Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Credit card,93.58,2719.61,No
CUST_00021,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.7,1651.81,No
CUST_00022,Male,0,No,No,4,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Credit card,65.3,280.18,No
CUST_00023,Female,0,No,No,12,No,No phone service,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer,77.79,918.91,Yes
CUST_00024,Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.61,4587.84,Yes
CUST_00025,Female,1,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.45,4565.98,Yes
CUST_00026,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.37,452.38,Yes
CUST_00027,Female,0,No,Yes,45,No,No phone service,DSL,No,No,No,No,One year,Yes,Mailed check,44.53,1987.96,No
CUST_00028,Female,1,No,Yes,33,Yes,No,DSL,Yes,Yes,No,No,One year,No,Mailed check,63.27,2095.71,Yes
CUST_00029,Female,0,No,No,70,No,No phone service,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.31,4865.26,No
CUST_00030,Female,1,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,101.61,4684.88,No
CUST_00031,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,102.58,6043.13,Yes
CUST_00032,Male,1,Yes,No,10,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,67.06,697.62,Yes
CUST_00033,Female,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,68.81,3375.7,Yes
CUST_00034,Female,0,No,No,3,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.22,249.22,No
CUST_00035,Female,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,102.75,4150.87,No
CUST_00036,Male,1,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Mailed check,98.1,5723.48,No
CUST_00037,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,Yes,Electronic check,87.53,5157.13,Yes
CUST_00038,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer,66.81,4099.71,No
CUST_00039,Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,No,One year,Yes,Electronic check,67.43,1665.91,No
CUST_00040,Male,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,Two year,Yes,Credit card,69.31,2258.31,No
CUST_00041,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Electronic check,93.42,1657.89,Yes
CUST_00042,Male,0,Yes,No,56,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.42,4102.65,No
CUST_00043,Female,1,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,22.52,334.94,No
CUST_00044,Female,0,No,Yes,40,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Bank transfer,63.67,2569.91,Yes
CUST_00045,Female,0,Yes,Yes,68,Yes,No,Fiber optic,No,No,No,No,One year,Yes,Mailed check,81.97,5586.64,No
CUST_00046,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Yes,Credit card,89.95,5312.51,Yes
CUST_00047,Female,0,No,No,21,Yes,No,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.53,1533.78,Yes
CUST_00048,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,One year,Yes,Mailed check,84.01,3523.15,No
CUST_00049,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.01,1001.86,No
CUST_00050,Female,0,No,No,12,Yes,No,DSL,No,No,Yes,No,Two year,Yes,Electronic check,64.41,776.6,No
CUST_00051,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer,86.27,3171.92,No
CUST_00052,Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,88.16,2214.66,Yes
CUST_00053,Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.22,113.69,No
CUST_00054,Female,1,No,No,48,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Mailed check,89.69,4331.24,No
CUST_00055,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,Yes,One year,No,Electronic check,73.27,275.81,No
CUST_00056,Female,1,Yes,No,70,No,No phone service,Fiber optic,No,Yes,No,Yes,Two year,No,Bank transfer,80.15,5591.42,No
CUST_00057,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,82.64,3880.36,No
CUST_00058,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,No,Credit card,82.36,1425.78,No
CUST_00059,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,38.08,184.81,No
CUST_00060,Male,0,No,No,65,Yes,No,DSL,Yes,Yes,Yes,No,One year,Yes,Mailed check,72.37,4703.7,Yes
CUST_00061,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.91,3697.79,No
CUST_00062,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,38.08,1935.2,No
CUST_00063,Male,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.72,253.73,No
CUST_00064,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,97.68,2440.76,No
CUST_00065,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,One year,No,Bank transfer,83.58,1667.52,Yes
CUST_00066,Female,0,No,No,65,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,66.98,4345.3,No
CUST_00067,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,35.21,1371.78,No
CUST_00068,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.42,5081.55,Yes
CUST_00069,Female,1,No,No,50,Yes,No,DSL,No,No,Yes,Yes,One year,Yes,Electronic check,71.8,3579.45,No
CUST_00070,Female,1,Yes,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,95.66,1813.61,No
CUST_00071,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card,81.37,4568.05,No
CUST_00072,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,Two year,Yes,Electronic check,80.79,349.02,No
CUST_00073,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,87.64,1127.91,Yes
CUST_00074,Female,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,No,Two year,No,Credit card,77.47,1804.28,No
CUST_00075,Male,0,Yes,No,67,No,No phone service,DSL,No,Yes,Yes,No,One year,Yes,Mailed check,53.98,3625.7,No
CUST_00076,Female,0,Yes,No,51,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.87,3535.47,No
CUST_00077,Female,1,No,Yes,47,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,90.38,4258.1,No
CUST_00078,Female,0,No,No,46,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.46,3201.54,No
CUST_00079,Male,0,No,No,59,Yes,No,Fiber optic,No,No,Yes,No,Two year,Yes,Credit card,81.19,4802.42,No
CUST_00080,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.26,5262.36,No
CUST_00081,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,36.06,45.95,Yes
CUST_00082,Female,1,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,One year,Yes,Electronic check,86.89,658.9,No
CUST_00083,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Credit card,85.24,1966.12,No
CUST_00084,Female,0,Yes,No,3,No,No phone service,DSL,Yes,No,Yes,Yes,One year,Yes,Electronic check,59.39,195.92,Yes
CUST_00085,Male,0,No,Yes,8,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.5,623.34,Yes
CUST_00086,Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.86,12.82,Yes
CUST_00087,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.9,3189.71,No
CUST_00088,Male,0,No,No,11,Yes,No,DSL,No,Yes,No,No,Two year,No,Bank transfer,72.13,802.73,No
CUST_00089,Female,0,No,No,17,Yes,No,DSL,No,No,No,Yes,Two year,No,Bank transfer,67.32,1140.92,Yes
CUST_00090,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.46,320.32,No
CUST_00091,Female,1,Yes,No,17,Yes,No,DSL,Yes,No,No,No,One year,No,Electronic check,58.68,988.21,No
CUST_00092,Female,1,No,No,23,Yes,No,DSL,Yes,No,Yes,No,One year,Yes,Credit card,70.83,1615.15,No
CUST_00093,Female,0,No,No,0,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.7,25.13,No
CUST_00094,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Electronic check,99.25,7010.91,No
CUST_00095,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.04,1436.49,No
CUST_00096,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,91.18,1263.4,No
CUST_00097,Female,0,Yes,No,61,Yes,No,DSL,No,No,Yes,Yes,Two year,No,Electronic check,70.92,4303.57,No
CUST_00098,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.75,369.45,Yes
CUST_00099,Female,0,No,No,44,No,No phone service,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card,57.79,2581.66,No
CUST_00100,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card,79.77,4062.55,No
CUST_00101,Male,0,No,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.51,4904.41,Yes
CUST_00102,Female,0,Yes,No,6,No,No phone service,DSL,No,Yes,Yes,No,One year,Yes,Electronic check,55.6,304.37,No
CUST_00103,Female,0,No,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card,101.61,2651.41,No
CUST_00104,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,86.43,1036.6,Yes
CUST_00105,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.52,1610.25,No
CUST_00106,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,No,One year,No,Mailed check,88.31,3803.4,No
CUST_00107,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,40.2,468.98,Yes
CUST_00108,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.83,2846.98,No
CUST_00109,Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,One year,No,Electronic check,61.7,229.1,No
CUST_00110,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Credit card,85.76,2745.45,Yes
CUST_00111,Female,1,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,No,Bank transfer,93.14,246.83,No
CUST_00112,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,100.0,2471.87,Yes
CUST_00113,Female,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,33.59,2247.58,No
CUST_00114,Female,0,Yes,Yes,15,No,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,71.35,1061.55,No
CUST_00115,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.75,1642.0,Yes
CUST_00116,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.11,3044.28,No
CUST_00117,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No,No,Yes,One year,Yes,Credit card,92.19,5246.02,No
CUST_00118,Female,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,34.58,1875.27,Yes
CUST_00119,Female,1,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,34.54,1176.26,Yes
CUST_00120,Male,0,Yes,No,24,Yes,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.5,1959.37,No
CUST_00121,Female,0,No,No,71,Yes,No,Fiber optic,No,No,No,Yes,Two year,Yes,Electronic check,82.13,5775.24,No
CUST_00122,Male,1,No,No,60,Yes,No,Fiber optic,No,No,No,No,One year,Yes,Electronic check,81.31,4870.99,No
CUST_00123,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,Yes,Electronic check,90.92,1541.45,No
CUST_00124,Male,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,39.92,2284.64,Yes
CUST_00125,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,One year,No,Electronic check,81.0,4565.12,No
CUST_00126,Female,1,No,Yes,62,Yes,Yes,DSL,Yes,Yes,No,No,Two year,Yes,Credit card,71.55,4416.39,No
CUST_00127,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,96.96,1051.3,No
CUST_00128,Male,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Electronic check,85.95,882.39,No
CUST_00129,Female,0,No,No,12,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Credit card,81.04,969.28,Yes
CUST_00130,Female,0,No,No,34,No,No phone service,DSL,No,No,No,No,Two year,Yes,Credit card,41.41,1413.47,No
CUST_00131,Female,0,No,No,26,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer,60.89,1560.91,Yes
CUST_00132,Male,0,No,Yes,66,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Mailed check,92.74,6109.67,Yes
CUST_00133,Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer,94.26,4142.71,No
CUST_00134,Male,0,No,No,66,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.77,5828.76,No
CUST_00135,Male,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Mailed check,100.87,2134.22,No
CUST_00136,Male,0,Yes,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,19.09,772.59,No
CUST_00137,Male,1,Yes,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.19,474.99,Yes
CUST_00138,Male,0,No,No,47,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.47,4205.27,No
CUST_00139,Male,1,Yes,No,17,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,No,Mailed check,68.75,1160.73,No
CUST_00140,Male,0,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.35,5198.42,Yes
CUST_00141,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card,86.47,470.57,No
CUST_00142,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,31.18,1206.0,No
CUST_00143,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.21,819.38,Yes
CUST_00144,Female,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Credit card,82.42,2003.17,No
CUST_00145,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.92,4887.95,No
CUST_00146,Male,0,No,No,57,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.22,5103.25,Yes
CUST_00147,Male,1,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,30.32,1065.27,No
CUST_00148,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,Two year,Yes,Mailed check,84.44,1227.86,No
CUST_00149,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card,91.79,6334.96,Yes
CUST_00150,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card,96.25,6931.46,No
CUST_00151,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,No,No,Two year,No,Electronic check,68.77,2490.0,No
CUST_00152,Male,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,Two year,Yes,Mailed check,57.95,3028.18,No
CUST_00153,Male,0,Yes,Yes,15,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,No,Credit card,69.0,1064.41,No
CUST_00154,Male,0,No,No,17,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.34,1212.25,Yes
CUST_00155,Male,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,38.56,693.98,No
CUST_00156,Female,0,No,Yes,43,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,64.54,2798.33,No
CUST_00157,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer,57.15,33.51,No
CUST_00158,Female,1,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.33,5374.17,No
CUST_00159,Male,0,No,No,9,No,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,67.35,591.81,Yes
CUST_00160,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,29.6,1311.63,No
CUST_00161,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,No,No,Yes,One year,No,Credit card,67.66,1227.31,No
CUST_00162,Male,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,38.77,1417.03,Yes
CUST_00163,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.33,2701.26,No
CUST_00164,Female,0,No,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.3,1025.46,No
CUST_00165,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,86.64,2865.91,No
CUST_00166,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.42,117.46,Yes
CUST_00167,Female,0,No,No,43,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.75,2587.36,Yes
CUST_00168,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,Two year,No,Electronic check,90.02,2356.77,No
CUST_00169,Male,0,No,No,47,Yes,No,Fiber optic,No,No,No,Yes,One year,No,Electronic check,86.55,4050.09,Yes
CUST_00170,Female,0,Yes,Yes,6,Yes,Yes,DSL,No,Yes,Yes,No,One year,Yes,Credit card,67.27,441.9,No
CUST_00171,Female,0,No,Yes,26,Yes,No,DSL,No,Yes,No,Yes,One year,Yes,Mailed check,71.22,1845.17,No
CUST_00172,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,38.15,2655.07,No
CUST_00173,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.61,1457.44,Yes
CUST_00174,Female,0,No,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,15.0,437.48,No
CUST_00175,Female,1,No,No,32,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card,87.78,2818.06,No
CUST_00176,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,One year,No,Mailed check,84.95,2003.05,Yes
CUST_00177,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,No,No,No,One year,Yes,Mailed check,66.16,831.29,Yes
CUST_00178,Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.63,1316.46,No
CUST_00179,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,No,Electronic check,96.69,3607.18,No
CUST_00180,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,No,Credit card,71.57,190.57,No
CUST_00181,Male,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,One year,Yes,Mailed check,91.8,5579.69,No
CUST_00182,Male,1,No,No,9,Yes,No,DSL,No,No,Yes,No,One year,Yes,Credit card,63.48,588.3,No
CUST_00183,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,37.97,1258.18,No
CUST_00184,Male,0,No,Yes,22,No,No phone service,DSL,No,Yes,No,Yes,One year,Yes,Bank transfer,52.93,1154.45,No
CUST_00185,Male,0,Yes,No,64,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,56.78,3627.98,No
CUST_00186,Male,0,No,No,24,Yes,No,DSL,No,Yes,No,No,One year,No,Credit card,64.18,1511.57,No
CUST_00187,Female,0,No,No,52,No,No phone service,DSL,Yes,Yes,Yes,No,Month-to-month,No,Credit card,55.43,2860.29,No
CUST_00188,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,92.51,1441.98,No
CUST_00189,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,No,One year,Yes,Electronic check,87.9,4931.02,No
CUST_00190,Female,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Credit card,97.52,1840.28,No
CUST_00191,Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,96.3,2268.65,Yes
CUST_00192,Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,90.65,3733.1,Yes
CUST_00193,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer,88.21,3897.26,No
CUST_00194,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.2,1092.74,No
CUST_00195,Male,1,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,87.72,5641.59,No
